account_id,party_id,account_type,account_status,balance,currency,branch_code,opened_date
ACC-000000037,PTY-00000037,CURRENT,ACTIVE,1030.06,EUR,BR-104,2025-05-26
ACC-000000038,PTY-00000038,SAVINGS,ACTIVE,30058.72,EUR,BR-103,2023-09-12
ACC-000000039,PTY-00000039,TERM_DEPOSIT,ACTIVE,24494.53,EUR,BR-105,2024-02-08
ACC-000000040,PTY-00000040,SAVINGS,ACTIVE,12033.43,EUR,BR-105,2026-05-25
ACC-000000041,PTY-00000041,CURRENT,CLOSED,4938.88,EUR,BR-102,2025-03-12
ACC-000000042,PTY-00000042,SAVINGS,ACTIVE,1235.59,EUR,BR-102,2019-10-29
ACC-000000043,PTY-00000043,CURRENT,ACTIVE,356.76,EUR,BR-105,2025-02-25
ACC-000000044,PTY-00000044,SAVINGS,ACTIVE,39011.84,EUR,BR-101,2021-05-11
ACC-000000045,PTY-00000045,SAVINGS,DORMANT,2646.57,EUR,BR-105,2023-01-17
ACC-000000046,PTY-00000046,CURRENT,CLOSED,398.04,EUR,BR-104,2021-08-24
ACC-000000047,PTY-00000047,SAVINGS,ACTIVE,45530.19,EUR,BR-101,2022-10-25
ACC-000000048,PTY-00000048,SAVINGS,ACTIVE,14113.29,EUR,BR-105,2018-06-11
ACC-000000049,PTY-00000049,CURRENT,CLOSED,2699.73,EUR,BR-105,2021-08-08
ACC-000000050,PTY-00000050,CURRENT,ACTIVE,4278.68,EUR,BR-105,2018-05-06
ACC-000000051,PTY-00000051,TERM_DEPOSIT,ACTIVE,89368.65,EUR,BR-104,2021-12-15
ACC-000000052,PTY-00000052,CURRENT,ACTIVE,2191.14,EUR,BR-103,2024-09-18
ACC-000000053,PTY-00000053,SAVINGS,ACTIVE,5015.63,EUR,BR-104,2025-05-06
ACC-000000054,PTY-00000054,SAVINGS,ACTIVE,6940.71,EUR,BR-105,2020-02-17
ACC-000000055,PTY-00000055,CURRENT,ACTIVE,1832.63,EUR,BR-104,2016-09-10
ACC-000000056,PTY-00000056,TERM_DEPOSIT,ACTIVE,32324.79,EUR,BR-101,2019-12-12
ACC-000000057,PTY-00000057,SAVINGS,ACTIVE,24368.38,EUR,BR-103,2016-12-12
ACC-000000058,PTY-00000058,SAVINGS,ACTIVE,14289.13,EUR,BR-104,2016-12-13
ACC-000000059,PTY-00000059,SAVINGS,ACTIVE,31275.33,EUR,BR-105,2026-02-18
ACC-000000060,PTY-00000060,SAVINGS,ACTIVE,34826.82,EUR,BR-103,2018-07-19
ACC-000000061,PTY-00000061,SAVINGS,DORMANT,17875.66,EUR,BR-102,2020-01-29
ACC-000000062,PTY-00000062,SAVINGS,ACTIVE,37177.97,USD,BR-101,2018-01-22
ACC-000000063,PTY-00000063,SAVINGS,ACTIVE,22955.47,EUR,BR-103,2018-05-03
ACC-000000064,PTY-00000064,CURRENT,DORMANT,3021.5,EUR,BR-102,2024-08-30
ACC-000000065,PTY-00000065,SAVINGS,ACTIVE,4538.29,EUR,BR-104,2020-12-24
ACC-000000066,PTY-00000066,SAVINGS,ACTIVE,11170.66,EUR,BR-103,2021-08-10
ACC-000000067,PTY-00000067,CURRENT,ACTIVE,3006.36,EUR,BR-103,2025-12-01
ACC-000000068,PTY-00000068,CURRENT,CLOSED,368.43,EUR,BR-102,2017-10-27
ACC-000000069,PTY-00000069,CURRENT,ACTIVE,1707.8,EUR,BR-104,2024-06-16
ACC-000000070,PTY-00000070,CURRENT,ACTIVE,1227.54,EUR,BR-103,2025-08-14
ACC-000000071,PTY-00000071,CURRENT,ACTIVE,2237.48,EUR,BR-101,2016-10-04
ACC-000000072,PTY-00000071,CURRENT,ACTIVE,2081.67,EUR,BR-103,2025-02-19
ACC-000000073,PTY-00000072,CURRENT,CLOSED,942.18,USD,BR-104,2017-02-05
ACC-000000074,PTY-00000072,SAVINGS,ACTIVE,22117.23,EUR,BR-104,2019-10-28
ACC-000000075,PTY-00000073,CURRENT,ACTIVE,4365.57,EUR,BR-102,2022-09-10
ACC-000000076,PTY-00000073,SAVINGS,ACTIVE,31844.62,EUR,BR-102,2017-09-21
ACC-000000077,PTY-00000074,CURRENT,ACTIVE,4112.85,EUR,BR-102,2025-04-10
ACC-000000078,PTY-00000074,CURRENT,ACTIVE,3051.76,EUR,BR-101,2024-06-10
ACC-000000079,PTY-00000075,TERM_DEPOSIT,ACTIVE,49075.54,EUR,BR-105,2021-05-24
ACC-000000080,PTY-00000075,SAVINGS,DORMANT,32328.1,USD,BR-103,2016-09-26
ACC-000000081,PTY-00000076,TERM_DEPOSIT,ACTIVE,46777.47,EUR,BR-103,2017-07-01
ACC-000000082,PTY-00000076,CURRENT,ACTIVE,2585.95,EUR,BR-104,2026-01-02
ACC-000000083,PTY-00000077,CURRENT,ACTIVE,475.98,EUR,BR-101,2019-07-13
ACC-000000084,PTY-00000077,SAVINGS,ACTIVE,29226.31,USD,BR-101,2021-05-20
ACC-000000085,PTY-00000078,TERM_DEPOSIT,ACTIVE,22882.75,EUR,BR-105,2024-09-26
ACC-000000086,PTY-00000078,TERM_DEPOSIT,ACTIVE,82041.85,EUR,BR-101,2020-10-08
ACC-000000087,PTY-00000079,SAVINGS,ACTIVE,35527.27,USD,BR-105,2020-07-25
ACC-000000088,PTY-00000079,SAVINGS,ACTIVE,45937.87,EUR,BR-103,2018-10-25
ACC-000000089,PTY-00000080,SAVINGS,ACTIVE,32541.62,EUR,BR-101,2020-03-03
ACC-000000090,PTY-00000080,SAVINGS,ACTIVE,36324.82,EUR,BR-105,2016-08-20
ACC-000000091,PTY-00000081,CURRENT,ACTIVE,3351.7,USD,BR-103,2019-01-26
ACC-000000092,PTY-00000081,SAVINGS,ACTIVE,29954.54,USD,BR-103,2020-02-28
ACC-000000093,PTY-00000082,CURRENT,ACTIVE,4084.61,EUR,BR-105,2025-05-19
ACC-000000094,PTY-00000082,SAVINGS,ACTIVE,18410.49,EUR,BR-102,2024-01-10
ACC-000000095,PTY-00000083,CURRENT,ACTIVE,1040.83,USD,BR-102,2025-07-24
ACC-000000096,PTY-00000083,CURRENT,ACTIVE,2587.68,EUR,BR-105,2026-01-02
ACC-000000097,PTY-00000084,SAVINGS,DORMANT,31092.56,EUR,BR-102,2024-08-10
ACC-000000098,PTY-00000084,CURRENT,ACTIVE,3161.23,USD,BR-104,2025-12-09
ACC-000000099,PTY-00000085,CURRENT,ACTIVE,1263.9,EUR,BR-103,2017-12-28
ACC-000000100,PTY-00000085,SAVINGS,ACTIVE,26933.55,EUR,BR-104,2017-01-23
